"retornos","Date","wday","wdayname","month_day","week","wk_total"
0,2020-01-02,5,"qui",2,"00",1
-0.0124517498584158,2020-01-03,6,"sex",3,"00",1
0.00258481914590925,2020-01-06,2,"seg",6,"01",2
-0.00911775771312173,2020-01-07,3,"ter",7,"01",2
0.0159283790337812,2020-01-08,4,"qua",8,"01",2
0.0124929730150034,2020-01-09,5,"qui",9,"01",2
-0.00462705915545836,2020-01-10,6,"sex",10,"01",2
0.0120243154090569,2020-01-13,2,"seg",13,"02",3
-0.00704307941599136,2020-01-14,3,"ter",14,"02",3
0.00647621024868283,2020-01-15,4,"qua",15,"02",3
0.0183233553637914,2020-01-16,5,"qui",16,"02",3
0.00559672631156927,2020-01-17,6,"sex",17,"02",3
-0.00359070005060325,2020-01-21,3,"ter",21,"03",4
-0.0048048228228228,2020-01-22,4,"qua",22,"03",4
0.00615572732931313,2020-01-23,5,"qui",23,"03",4
-0.0100768233560651,2020-01-24,6,"sex",24,"03",4
-0.0167231829681428,2020-01-27,2,"seg",27,"04",5
0.0195958098323625,2020-01-28,3,"ter",28,"04",5
0.0155928072697351,2020-01-29,4,"qua",29,"04",5
0.0282076065071009,2020-01-30,5,"qui",30,"04",5
-0.0147586700703708,2020-01-31,6,"sex",31,"04",5
0.0243788350908498,2020-02-03,2,"seg",3,"05",6
0.0329165605884687,2020-02-04,3,"ter",4,"05",6
-0.00122141353601524,2020-02-05,4,"qua",5,"05",6
0.0207338028037956,2020-02-06,5,"qui",6,"05",6
0.00141585793672427,2020-02-07,6,"sex",7,"05",6
0.0261569309160745,2020-02-10,2,"seg",10,"06",7
-0.0225754905549893,2020-02-11,3,"ter",11,"06",7
0.00146391778937405,2020-02-12,4,"qua",12,"06",7
-0.00541389184182095,2020-02-13,5,"qui",13,"06",7
0.00892710760171056,2020-02-14,6,"sex",14,"06",7
0.0101429184739277,2020-02-18,3,"ter",18,"07",8
0.00026706724920289,2020-02-19,4,"qua",19,"07",8
-0.0152712570230205,2020-02-20,5,"qui",20,"07",8
-0.0316126345473661,2020-02-21,6,"sex",21,"07",8
-0.0431155001537713,2020-02-24,2,"seg",24,"08",9
-0.0165017965738299,2020-02-25,3,"ter",25,"08",9
0.0124947397663879,2020-02-26,4,"qua",26,"08",9
-0.0704589830223774,2020-02-27,5,"qui",27,"08",9
0.0242129357029368,2020-02-28,6,"sex",28,"08",9
0.0665390922331675,2020-03-02,2,"seg",2,"09",10
-0.047919430148944,2020-03-03,3,"ter",3,"09",10
0.0367151430525543,2020-03-04,4,"qua",4,"09",10
-0.0250952736717337,2020-03-05,5,"qui",5,"09",10
-0.028267257394184,2020-03-06,6,"sex",6,"09",10
-0.0677725538502948,2020-03-09,2,"seg",9,"10",11
0.0683840349350695,2020-03-10,3,"ter",10,"10",11
-0.0453019704859802,2020-03-11,4,"qua",11,"10",11
-0.0948382902155084,2020-03-12,5,"qui",12,"10",11
0.142168878788564,2020-03-13,6,"sex",13,"10",11
-0.147390314834851,2020-03-16,2,"seg",16,"11",12
0.0823365024713707,2020-03-17,3,"ter",17,"11",12
-0.0420960135452543,2020-03-18,4,"qua",18,"11",12
0.0164530847487072,2020-03-19,5,"qui",19,"11",12
-0.0375586906109533,2020-03-20,6,"sex",20,"11",12
-0.0099745900265924,2020-03-23,2,"seg",23,"12",13
0.0908957226326144,2020-03-24,3,"ter",24,"12",13
-0.00957259025408108,2020-03-25,4,"qua",25,"12",13
0.0625510694602651,2020-03-26,5,"qui",26,"12",13
-0.041060815828193,2020-03-27,6,"sex",27,"12",13
0.0703406760923315,2020-03-30,2,"seg",30,"13",14
-0.0157273236154859,2020-03-31,3,"ter",31,"13",14
-0.0355082477423261,2020-04-01,4,"qua",1,"13",14
0.0207086580717333,2020-04-02,5,"qui",2,"13",14
-0.00921031203176326,2020-04-03,6,"sex",3,"13",14
0.074367820654387,2020-04-06,2,"seg",6,"14",15
-0.0107702484233013,2020-04-07,3,"ter",7,"14",15
0.0100311942616922,2020-04-08,4,"qua",8,"14",15
6.0522011126718e-05,2020-04-09,5,"qui",9,"14",15
0.00224049898413781,2020-04-13,2,"seg",13,"15",16
0.0494834284781411,2020-04-14,3,"ter",14,"15",16
-0.0104777894728461,2020-04-15,4,"qua",15,"15",16
0.030020874155781,2020-04-16,5,"qui",16,"15",16
0.00881164178536764,2020-04-17,6,"sex",17,"15",16
-0.0198208727943716,2020-04-20,2,"seg",20,"16",17
-0.0413571980047663,2020-04-21,3,"ter",21,"16",17
0.0339649431667584,2020-04-22,4,"qua",22,"16",17
-0.0121023856131308,2020-04-23,5,"qui",23,"16",17
0.0182592756768087,2020-04-24,6,"sex",24,"16",17
-0.0028645086875192,2020-04-27,2,"seg",27,"17",18
-0.0243608441649955,2020-04-28,3,"ter",28,"17",18
0.0448736534347052,2020-04-29,4,"qua",29,"17",18
0.0100322046453556,2020-04-30,5,"qui",30,"17",18
-0.025891411298254,2020-05-01,6,"sex",1,"17",18
0.0244600379720441,2020-05-04,2,"seg",4,"18",19
0.0107358479252033,2020-05-05,3,"ter",5,"18",19
0.00984730056006033,2020-05-06,4,"qua",6,"18",19
0.00580701786265547,2020-05-07,5,"qui",7,"18",19
0.00588228194284479,2020-05-08,6,"sex",8,"18",19
0.0111544946831355,2020-05-11,2,"seg",11,"19",20
-0.0226518683021348,2020-05-12,3,"ter",12,"19",20
-0.0151224320618715,2020-05-13,4,"qua",13,"19",20
0.00433935465924895,2020-05-14,5,"qui",14,"19",20
0.0145682435859316,2020-05-15,6,"sex",15,"19",20
0.00955448767079092,2020-05-18,2,"seg",18,"20",21
-0.00692228095998515,2020-05-19,3,"ter",19,"20",21
0.0110548327872668,2020-05-20,4,"qua",20,"20",21
-0.0120112622641115,2020-05-21,5,"qui",21,"20",21
0.000436144594957222,2020-05-22,6,"sex",22,"20",21
-0.010571565870295,2020-05-26,3,"ter",26,"21",22
0.0013217546442017,2020-05-27,4,"qua",27,"21",22
-0.00225512350536416,2020-05-28,5,"qui",28,"21",22
0.0101984898632357,2020-05-29,6,"sex",29,"21",22
-0.00229193997271482,2020-06-01,2,"seg",1,"22",23
0.0113766995419056,2020-06-02,3,"ter",2,"22",23
0.00243360007714899,2020-06-03,4,"qua",3,"22",23
-0.0131635897002397,2020-06-04,5,"qui",4,"22",23
0.0233982016553489,2020-06-05,6,"sex",5,"22",23
0.00619660266340727,2020-06-08,2,"seg",8,"23",24
0.00764494580778852,2020-06-09,3,"ter",9,"23",24
0.0370916379806381,2020-06-10,4,"qua",10,"23",24
-0.0536983957264459,2020-06-11,5,"qui",11,"23",24
0.00789177521035533,2020-06-12,6,"sex",12,"23",24
0.00639180232257908,2020-06-15,2,"seg",15,"24",25
0.0245051601089747,2020-06-16,3,"ter",16,"24",25
0.00346126969970095,2020-06-17,4,"qua",17,"24",25
0.0107084119978271,2020-06-18,5,"qui",18,"24",25
-0.00595972370763009,2020-06-19,6,"sex",19,"24",25
0.0277735750276273,2020-06-22,2,"seg",22,"25",26
0.00668094407555153,2020-06-23,3,"ter",23,"25",26
-0.0201575351362975,2020-06-24,4,"qua",24,"25",26
0.0126364741738065,2020-06-25,5,"qui",25,"25",26
-0.0200159432967145,2020-06-26,6,"sex",26,"25",26
0.0107472112183853,2020-06-29,2,"seg",29,"26",27
0.0255492488858169,2020-06-30,3,"ter",30,"26",27
0.00584738847838895,2020-07-01,4,"qua",1,"26",27
0.00762089898809326,2020-07-02,5,"qui",2,"26",27
0.0215262392496423,2020-07-06,2,"seg",6,"27",28
-0.0116278929040516,2020-07-07,3,"ter",7,"27",28
0.0219928067226891,2020-07-08,4,"qua",8,"27",28
0.00700091615842768,2020-07-09,5,"qui",9,"27",28
-0.00303288997186346,2020-07-10,6,"sex",10,"27",28
-0.0308887118536875,2020-07-13,2,"seg",13,"28",29
0.00618147948389258,2020-07-14,3,"ter",14,"28",29
-0.00148794332168145,2020-07-15,4,"qua",15,"28",29
-0.0198038605009951,2020-07-16,5,"qui",16,"28",29
-0.0051000049539035,2020-07-17,6,"sex",17,"28",29
0.0429810764249536,2020-07-20,2,"seg",20,"29",30
-0.0134688370471975,2020-07-21,3,"ter",21,"29",30
0.0143712574850299,2020-07-22,4,"qua",22,"29",30
-0.043494720188902,2020-07-23,5,"qui",23,"29",30
-0.00612219829591876,2020-07-24,6,"sex",24,"29",30
0.0126676749229855,2020-07-27,2,"seg",27,"30",31
-0.00897719865654556,2020-07-28,3,"ter",28,"30",31
0.0100979801980403,2020-07-29,4,"qua",29,"30",31
-0.000784102722572899,2020-07-30,5,"qui",30,"30",31
0.00544385008662629,2020-07-31,6,"sex",31,"30",31
0.056241150583902,2020-08-03,2,"seg",3,"31",32
-0.0150087748455778,2020-08-04,3,"ter",4,"31",32
-0.00164091617744122,2020-08-05,4,"qua",5,"31",32
0.0160139192635116,2020-08-06,5,"qui",6,"31",32
-0.0178877277220876,2020-08-07,6,"sex",7,"31",32
-0.0199077375735643,2020-08-10,2,"seg",10,"32",33
-0.0233853301320528,2020-08-11,3,"ter",11,"32",33
0.0285671986289899,2020-08-12,4,"qua",12,"32",33
-0.00234239206135667,2020-08-13,5,"qui",13,"32",33
0.000958299007546293,2020-08-14,6,"sex",14,"32",33
0.00660605571869954,2020-08-17,2,"seg",17,"33",34
0.00575426101271748,2020-08-18,3,"ter",18,"33",34
-0.00846379477838677,2020-08-19,4,"qua",19,"33",34
0.0232713641860471,2020-08-20,5,"qui",20,"33",34
-0.00727000645661291,2020-08-21,6,"sex",21,"33",34
0.00314523513012421,2020-08-24,2,"seg",24,"34",35
0.0130094949411812,2020-08-25,3,"ter",25,"34",35
0.0216195915294517,2020-08-26,4,"qua",26,"34",35
0.0245535073358403,2020-08-27,5,"qui",27,"34",35
0.0102833523675225,2020-08-28,6,"sex",28,"34",35
-0.0147656499975422,2020-08-31,2,"seg",31,"35",36
0.00771518204990551,2020-09-01,3,"ter",1,"35",36
0.0192721869270527,2020-09-02,4,"qua",2,"35",36
-0.0619468654076459,2020-09-03,5,"qui",3,"35",36
-0.0140359086879535,2020-09-04,6,"sex",4,"35",36
-0.0540956639439907,2020-09-08,3,"ter",8,"36",37
0.0425835825010643,2020-09-09,4,"qua",9,"36",37
-0.0280183548493942,2020-09-10,5,"qui",10,"36",37
-0.0065247895633439,2020-09-11,6,"sex",11,"36",37
0.00676373575828904,2020-09-14,2,"seg",14,"37",38
0.0164061873052688,2020-09-15,3,"ter",15,"37",38
-0.0178656768745362,2020-09-16,4,"qua",16,"37",38
-0.0104364738780327,2020-09-17,5,"qui",17,"37",38
-0.0124193235933305,2020-09-18,6,"sex",18,"37",38
0.0107290484092473,2020-09-21,2,"seg",21,"38",39
0.0240940316414446,2020-09-22,3,"ter",22,"38",39
-0.0329283678809021,2020-09-23,4,"qua",23,"38",39
0.0129617929699744,2020-09-24,5,"qui",24,"38",39
0.022786578839642,2020-09-25,6,"sex",25,"38",39
0.00779518306916427,2020-09-28,2,"seg",28,"39",40
-0.0104087422611846,2020-09-29,3,"ter",29,"39",40
0.0148123471681065,2020-09-30,4,"qua",30,"39",40
0.0101269670505684,2020-10-01,5,"qui",1,"39",40
-0.0295114600085653,2020-10-02,6,"sex",2,"39",40
0.0203210774497204,2020-10-05,2,"seg",5,"40",41
-0.0212472710987911,2020-10-06,3,"ter",6,"40",41
0.0190374334604939,2020-10-07,4,"qua",7,"40",41
0.00357432203617858,2020-10-08,5,"qui",8,"40",41
0.0248361475464323,2020-10-09,6,"sex",9,"40",41
0.02590239586583,2020-10-12,2,"seg",12,"41",42
0.00659443107301994,2020-10-13,3,"ter",13,"41",42
-0.00897424387968127,2020-10-14,4,"qua",14,"41",42
-0.00543329255893654,2020-10-15,5,"qui",15,"41",42
0,2020-10-16,6,"sex",16,"41",42
-0.0247655599605652,2020-10-19,2,"seg",19,"42",43
0.00200724954716058,2020-10-20,3,"ter",20,"42",43
0.000698853967822766,2020-10-21,4,"qua",21,"42",43
0.000418975785582143,2020-10-22,5,"qui",22,"42",43
0.00623573459088722,2020-10-23,6,"sex",23,"42",43
-0.028441909604438,2020-10-26,2,"seg",26,"43",44
0.0150894800543651,2020-10-27,3,"ter",27,"43",44
-0.0495662696365768,2020-10-28,4,"qua",28,"43",44
0.010065167112967,2020-10-29,5,"qui",29,"43",44
-0.0109906212827734,2020-10-30,6,"sex",30,"43",44
-0.000691455520860029,2020-11-02,2,"seg",2,"44",45
0.0202638805885051,2020-11-03,3,"ter",3,"44",45
0.0482488317480105,2020-11-04,4,"qua",4,"44",45
0.0318868433471364,2020-11-05,5,"qui",5,"44",45
0.00192578267490906,2020-11-06,6,"sex",6,"44",45
-0.0238244322196298,2020-11-09,2,"seg",9,"45",46
-0.0337927745491678,2020-11-10,3,"ter",10,"45",46
0.0262547184080071,2020-11-11,4,"qua",11,"45",46
-0.00512584153600781,2020-11-12,5,"qui",12,"45",46
0.00496654748452885,2020-11-13,6,"sex",13,"45",46
0.00332548619753092,2020-11-16,2,"seg",16,"46",47
-0.0127514111817228,2020-11-17,3,"ter",17,"46",47
-0.0157605375812563,2020-11-18,4,"qua",18,"46",47
0.00634828495027207,2020-11-19,5,"qui",19,"46",47
-0.009556534314627,2020-11-20,6,"sex",20,"46",47
-0.00133085223314244,2020-11-23,2,"seg",23,"47",48
0.0178477939277151,2020-11-24,3,"ter",24,"47",48
4.67315063745755e-05,2020-11-25,4,"qua",25,"47",48
0.00635900795714717,2020-11-27,6,"sex",27,"47",48
-0.00538953222858396,2020-11-30,2,"seg",30,"48",49
0.00999672971468613,2020-12-01,3,"ter",1,"48",49
-0.00388516707277109,2020-12-02,4,"qua",2,"48",49
-0.00524673829332634,2020-12-03,5,"qui",3,"48",49
0.000560100808436825,2020-12-04,6,"sex",4,"48",49
-0.000326590780338698,2020-12-07,2,"seg",7,"49",50
0.00802651573188484,2020-12-08,3,"ter",8,"49",50
-0.0194898018492153,2020-12-09,4,"qua",9,"49",50
-0.00604343239787397,2020-12-10,5,"qui",10,"49",50
0.0130153474631323,2020-12-11,6,"sex",11,"49",50
0.00440777465084352,2020-12-14,2,"seg",14,"50",51
-0.000326760041924667,2020-12-15,3,"ter",15,"50",51
0.0240507816734978,2020-12-16,4,"qua",16,"50",51
0.000638448561831595,2020-12-17,5,"qui",17,"50",51
-0.00378270899446453,2020-12-18,6,"sex",18,"50",51
0.0182990991042427,2020-12-21,2,"seg",21,"51",52
0.00606498955146195,2020-12-22,3,"ter",22,"51",52
-0.0130391978830116,2020-12-23,4,"qua",23,"51",52
0.00782732770197581,2020-12-24,5,"qui",24,"51",52
0.00992146801346805,2020-12-28,2,"seg",28,"52",53
-0.00360069778980754,2020-12-29,3,"ter",29,"52",53
-0.0110194114035979,2020-12-30,4,"qua",30,"52",53
0.00333816773442419,2020-12-31,5,"qui",31,"52",53
-0.0212660554020866,2021-01-04,2,"seg",4,"01",54
0.000964637778817279,2021-01-05,3,"ter",5,"01",54
-0.0259292985570252,2021-01-06,4,"qua",6,"01",54
0.0284569752650177,2021-01-07,5,"qui",7,"01",54
0.00609282167139913,2021-01-08,6,"sex",8,"01",54
-0.00969852494532653,2021-01-11,2,"seg",11,"02",55
-0.0117707110264677,2021-01-12,3,"ter",12,"02",55
0.00656028961020816,2021-01-13,4,"qua",13,"02",55
-0.0153461775972299,2021-01-14,5,"qui",14,"02",55
-0.00173697302155718,2021-01-15,6,"sex",15,"02",55
0.0178227515021703,2021-01-19,3,"ter",19,"03",56
0.036499694728334,2021-01-20,4,"qua",20,"03",56
0.00280825983432753,2021-01-21,5,"qui",21,"03",56
0.00435611857422713,2021-01-22,6,"sex",22,"03",56
0.0158442223834152,2021-01-25,2,"seg",25,"04",57
0.0121988542334286,2021-01-26,3,"ter",26,"04",57
0.00245337233716358,2021-01-27,4,"qua",27,"04",57
0.0258909366910502,2021-01-28,5,"qui",28,"04",57
-0.029171666195964,2021-01-29,6,"sex",29,"04",57
0.0331522105877502,2021-02-01,2,"seg",1,"05",58
-0.000584181112059601,2021-02-02,3,"ter",2,"05",58
0.0145714378224591,2021-02-03,4,"qua",3,"05",58
-0.0040740946502057,2021-02-04,5,"qui",4,"05",58
0.000785099805485245,2021-02-05,6,"sex",5,"05",58
0.00111479770166967,2021-02-08,2,"seg",8,"06",59
0.00536150036968897,2021-02-09,3,"ter",9,"06",59
-0.003897103763431,2021-02-10,4,"qua",10,"06",59
0.00687751400979075,2021-02-11,5,"qui",11,"06",59
0.00204507337631243,2021-02-12,6,"sex",12,"06",59
-0.00526555358860459,2021-02-16,3,"ter",16,"07",60
0.00205170293867507,2021-02-17,4,"qua",17,"07",60
-0.00167896807959411,2021-02-18,5,"qui",18,"07",60
-0.011567300057308,2021-02-19,6,"sex",19,"07",60
-0.0268083411760454,2021-02-22,2,"seg",22,"08",61
-0.00528758273181495,2021-02-23,3,"ter",23,"08",61
0.00548719928859787,2021-02-24,4,"qua",24,"08",61
-0.0237049581278411,2021-02-25,5,"qui",25,"08",61
0.0148041395955252,2021-02-26,6,"sex",26,"08",61
0.019623017909824,2021-03-01,2,"seg",1,"09",62
-0.0129568961512881,2021-03-02,3,"ter",2,"09",62
-0.0269807890490611,2021-03-03,4,"qua",3,"09",62
-0.00364739852036744,2021-03-04,5,"qui",4,"09",62
0.0214793370348756,2021-03-05,6,"sex",5,"09",62
-0.01817792267242,2021-03-08,2,"seg",8,"10",63
0.0281014997497757,2021-03-09,3,"ter",9,"10",63
-0.00581743949789315,2021-03-10,4,"qua",10,"10",63
0.020265067724508,2021-03-11,5,"qui",11,"10",63
-0.00581961359128724,2021-03-12,6,"sex",12,"10",63
-0.00398728313891827,2021-03-15,2,"seg",15,"11",64
0.0123504494046287,2021-03-16,3,"ter",16,"11",64
-0.00281861924306781,2021-03-17,4,"qua",17,"11",64
-0.0266621337606942,2021-03-18,5,"qui",18,"11",64
-0.00160365377252225,2021-03-19,6,"sex",19,"11",64
0.0244844751599442,2021-03-22,2,"seg",22,"12",65
0.00673756077084708,2021-03-23,3,"ter",23,"12",65
-0.00892328892227223,2021-03-24,4,"qua",24,"12",65
-0.0132507046090421,2021-03-25,5,"qui",25,"12",65
0.0178187142604582,2021-03-26,6,"sex",26,"12",65
-0.00524353442563485,2021-03-29,2,"seg",29,"13",66
-0.0144108099300542,2021-03-30,3,"ter",30,"13",66
0.0169074742227955,2021-03-31,4,"qua",31,"13",66
0.027908562956974,2021-04-01,5,"qui",1,"13",66
0.0277284952904024,2021-04-05,2,"seg",5,"14",67
-0.00485809598102271,2021-04-06,3,"ter",6,"14",67
0.00823042439994182,2021-04-07,4,"qua",7,"14",67
0.0134053864763197,2021-04-08,5,"qui",8,"14",67
0.0102665587364266,2021-04-09,6,"sex",9,"14",67
0.000234504587035111,2021-04-12,2,"seg",12,"15",68
0.0100816144725628,2021-04-13,3,"ter",13,"15",68
-0.011218979891639,2021-04-14,4,"qua",14,"15",68
0.0152979539934732,2021-04-15,5,"qui",15,"15",68
0.00477838150289012,2021-04-16,6,"sex",16,"15",68
-0.00767047663076159,2021-04-19,2,"seg",19,"16",69
-0.00185506693418347,2021-04-20,3,"ter",20,"16",69
0.00898310582424267,2021-04-21,4,"qua",21,"16",69
-0.0130860932155931,2021-04-22,5,"qui",22,"16",69
0.0154760695213716,2021-04-23,6,"sex",23,"16",69
0.0015316638299443,2021-04-26,2,"seg",26,"17",70
0.00160586128568285,2021-04-27,3,"ter",27,"17",70
-0.0282856929103116,2021-04-28,4,"qua",28,"17",70
-0.00805312309909745,2021-04-29,5,"qui",29,"17",70
-0.0013068868818441,2021-04-30,6,"sex",30,"17",70
-0.00126890319962847,2021-05-03,2,"seg",3,"18",71
-0.0161598030010331,2021-05-04,3,"ter",4,"18",71
-0.0053270593538457,2021-05-05,4,"qua",5,"18",71
0.0132267415376039,2021-05-06,5,"qui",6,"18",71
0.010931850573529,2021-05-07,6,"sex",7,"18",71
-0.0209142591048094,2021-05-10,2,"seg",10,"19",72
-0.00384334099402617,2021-05-11,3,"ter",11,"19",72
-0.0293627751185928,2021-05-12,4,"qua",12,"19",72
0.0168619205020921,2021-05-13,5,"qui",13,"19",72
0.0210673374524435,2021-05-14,6,"sex",14,"19",72
-0.0119685717179586,2021-05-17,2,"seg",17,"20",73
-0.00856509935539473,2021-05-18,3,"ter",18,"20",73
0.000164526080594474,2021-05-19,4,"qua",19,"20",73
0.0138203400341466,2021-05-20,5,"qui",20,"20",73
-0.00531482481848145,2021-05-21,6,"sex",21,"20",73
0.0228820860862429,2021-05-24,2,"seg",24,"21",74
0.00374831327756731,2021-05-25,3,"ter",25,"21",74
-0.000913697755785425,2021-05-26,4,"qua",26,"21",74
-0.00866836437495788,2021-05-27,5,"qui",27,"21",74
0.00148407606180312,2021-05-28,6,"sex",28,"21",74
-0.00913168481224691,2021-06-01,3,"ter",1,"22",75
-0.000404167350141482,2021-06-02,4,"qua",2,"22",75
-0.00642942167695815,2021-06-03,5,"qui",3,"22",75
0.020674721644528,2021-06-04,6,"sex",4,"22",75
0.0120419677191825,2021-06-07,2,"seg",7,"23",76
-0.00488550888369654,2021-06-08,3,"ter",8,"23",76
0.00403844071635961,2021-06-09,4,"qua",9,"23",76
0.0143932886059115,2021-06-10,5,"qui",10,"23",76
0.00252692048386427,2021-06-11,6,"sex",11,"23",76
